RespId     	Model Name               	Context	Temp	Duration	Eval Tokens	QPC	Model Query Prompt	Eval Duration	Prompt Eval Tokens	Tokens Per Second	Web Search	Docs	Web Search URL	CPU_GPU	RAM	OS	Computer	Server	Response File
a12_t002.02	 llama3.2                 	 8000	0.07	  23.04	  323	KN1	Explain the key differen...	  12.38	   557	 26.10	roman empire	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	5 Sources, 1894 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04stu-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t002_Test 2 on Mac Studio/a12_t002.02.4.50408.1751_Response.txt
a12_t002.03	 llama3.2                 	 8000	0.07	  13.17	  323	KN1	Explain the key differen...	  12.90	   557	 25.04	roman empire	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	5 Sources, 1894 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04stu-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t002_Test 2 on Mac Studio/a12_t002.03.4.50408.1752_Response.txt
a12_t002.04	 llama3.2                 	 8000	0.07	   0.79	    9	KN2	Summarize the major clim...	   0.34	   557	 26.81	roman empire	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	5 Sources, 1894 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04stu-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t002_Test 2 on Mac Studio/a12_t002.04.4.50408.1752_Response.txt
a12_t002.05	 llama3.2                 	 8000	0.07	  10.19	  259	KN3	What are the primary cha...	   9.98	   558	 25.96	roman empire	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	5 Sources, 1894 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04stu-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t002_Test 2 on Mac Studio/a12_t002.05.4.50408.1752_Response.txt
a12_t002.06	 llama3.2                 	 8000	0.07	  22.79	  278	KN1	Explain the key differen...	  10.81	   557	 25.72	roman empire	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	5 Sources, 1894 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a12_websearch-app/25.04.Apr/_t002_Test 2 on Mac Studio/a12_t002.06.4.50409.0618_Response.txt
a12_t002.07	 llama3.2                 	 8000	0.07	   9.91	  245	KN2	Summarize the major clim...	   9.55	   557	 25.64	roman empire	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	5 Sources, 1894 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a12_websearch-app/25.04.Apr/_t002_Test 2 on Mac Studio/a12_t002.07.4.50409.0618_Response.txt
a12_t002.08	 llama3.2                 	 8000	0.07	  13.18	  328	KN3	What are the primary cha...	  12.79	   558	 25.64	roman empire	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	5 Sources, 1894 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a12_websearch-app/25.04.Apr/_t002_Test 2 on Mac Studio/a12_t002.08.4.50409.0618_Response.txt
a12_t001.01	 qwen2:0.5b               	 8000	0.07	  24.88	  379	QP1	Summarize the key events...	  14.17	   572	 26.75	roman empire	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	5 Sources, 1894 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a12_websearch-app/25.04.Apr/_t001_Run1-qwen2 on {PC_Name}/a12_t001.01.4.50409.1247_Response.txt
a12_t001.01	 qwen2:0.5b               	 8000	0.07	  35.37	 1038	QP1	Summarize the key events...	  33.51	   572	 30.98	roman empire	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	5 Sources, 1894 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a12_websearch-app/25.04.Apr/_t001_Run1-qwen2 on bt04st/a12_t001.01.4.50409.1256_Response.txt
a12_t002.01	 gemma2:2b                	 8000	0.07	  21.65	  360	KN1	Explain the key differen...	  16.91	   568	 21.29	roman empire	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	5 Sources, 1894 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a12_websearch-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a12_t002.01.4.50409.1257_Response.txt
